Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 115, 1,    66402.2,   30.0,    1.0001, 2,    66402.2,  -90.0,    1.0001, 3,    66402.2,  150.0,    1.0001
"LOAD 611C", 4.16, 3,    2270.57,  114.7,   0.94537, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD 634A", 0.48, 1,    272.994,   -4.2,   0.98508, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD 634B", 0.48, 2,    281.456, -123.1,    1.0156, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD 634C", 0.48, 3,     272.58,  116.8,   0.98359, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD 645B", 4.16, 2,    2483.03, -122.7,    1.0338, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD 646", 4.16, 2,    2480.65, -122.7,    1.0328, 3,    2412.08,  117.4,    1.0043, 0, 0, 0, 0
"LOAD 652", 4.16, 1,    2319.38,   -7.3,   0.96569, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD 670A", 4.16, 1,    2402.21,   -4.7,    1.0002, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD 670B", 4.16, 2,    2494.59, -123.0,    1.0386, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD 670C", 4.16, 3,    2369.88,  116.5,   0.98672, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD 671", 4.16, 1,    2326.85,   -7.4,    0.9688, 2,    2500.94, -124.0,    1.0413, 3,     2277.6,  115.0,    0.9483
"LOAD 675A", 4.16, 1,    2298.64,   -7.7,   0.95706, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD 675B", 4.16, 2,     2494.2, -124.2,    1.0385, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD 675C", 4.16, 3,    2259.97,  114.9,   0.94096, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD 692AC", 4.16, 1,    2326.48,   -7.4,   0.96865, 3,     2277.3,  115.0,   0.94817, 0, 0, 0, 0
"MOTOR 01", 4.16, 1,    2298.66,   -7.7,   0.95707, 2,    2493.97, -124.2,    1.0384, 3,    2259.92,  114.9,   0.94093
"CAPACITOR 01", 4.16, 1,    2299.01,   -7.7,   0.95721, 2,    2494.34, -124.2,    1.0385, 3,    2260.27,  114.9,   0.94108
"CAPACITOR 02", 4.16, 3,    2270.71,  114.7,   0.94543, 0, 0, 0, 0, 0, 0, 0, 0
"632", 4.16, 1,    2439.93,   -3.4,    1.0159, 2,    2494.65, -122.5,    1.0387, 3,    2421.14,  117.3,    1.0081
"633", 4.16, 1,    2432.67,   -3.5,    1.0129, 2,    2490.12, -122.6,    1.0368, 3,    2414.85,  117.3,    1.0054
"645", 4.16, 2,    2483.14, -122.7,    1.0339, 3,    2415.53,  117.4,    1.0057, 0, 0, 0, 0
"B_632_671", 4.16, 1,    2402.22,   -4.7,    1.0002, 2,    2494.63, -123.0,    1.0387, 3,    2369.96,  116.5,   0.98675
"646", 4.16, 2,    2480.72, -122.7,    1.0329, 3,    2412.16,  117.4,    1.0043, 0, 0, 0, 0
"671", 4.16, 1,     2327.1,   -7.4,   0.96891, 2,     2501.2, -124.0,    1.0414, 3,    2277.85,  115.0,    0.9484
"680", 4.16, 1,     2327.1,   -7.4,   0.96891, 2,     2501.2, -124.0,    1.0414, 3,    2277.85,  115.0,    0.9484
"684", 4.16, 1,    2323.86,   -7.4,   0.96756, 3,    2275.45,  114.9,    0.9474, 0, 0, 0, 0
"611", 4.16, 3,    2270.67,  114.7,   0.94541, 0, 0, 0, 0, 0, 0, 0, 0
"RG60", 4.16, 1,    2581.91,    0.0,     1.075, 2,    2536.94, -120.0,    1.0563, 3,    2596.51,  120.0,    1.0811
"634", 0.48, 1,    273.983,   -4.2,   0.98865, 2,    282.202, -123.0,    1.0183, 3,     273.35,  116.8,   0.98637
"652", 4.16, 1,    2319.46,   -7.3,   0.96573, 0, 0, 0, 0, 0, 0, 0, 0
"675", 4.16, 1,    2298.93,   -7.7,   0.95718, 2,    2494.25, -124.2,    1.0385, 3,    2260.19,  114.9,   0.94105
"692", 4.16, 1,    2326.54,   -7.4,   0.96868, 2,    2500.95, -124.0,    1.0413, 3,    2277.37,  115.0,    0.9482
"BUS 01", 4.16, 2,    2490.12, -122.6,    1.0368, 0, 0, 0, 0, 0, 0, 0, 0
"650", 4.16, 1,     2401.8,    0.0,         1, 2,    2401.85, -120.0,         1, 3,     2401.8,  120.0,         1
